Job Class,Percentage
Management,6.1,https://en.wikipedia.org/wiki/Management
Business and Financial operations,5,https://en.wikipedia.org/wiki/Businessperson
Computer and Mathematical,2.7,https://en.wikipedia.org/wiki/Mathematics
Architecture and Engineering,1.7,https://en.wikipedia.org/wiki/Engineering
"Life, Physical and Social Science",0.9,https://en.wikipedia.org/wiki/Science
Community and Social Service,1.6,https://en.wikipedia.org/wiki/Volunteering
Legal,0.8,https://en.wikipedia.org/wiki/Law
"Education, training and library",6.1,https://en.wikipedia.org/wiki/Teacher
"Arts, design, entertainment, sports and media",1.7,https://en.wikipedia.org/wiki/The_arts
Healthcare practioners and technical,5.5,https://en.wikipedia.org/wiki/Health_care
Healthcare support,2.8,https://en.wikipedia.org/wiki/Health_care
Protective service,2.3,https://en.wikipedia.org/wiki/Bodyguard
Food preparation and serving,8.3,https://en.wikipedia.org/wiki/Chef
Building and grounds cleaning and maintenance,3.7,https://en.wikipedia.org/wiki/Construction
Personal care and service,4,https://en.wikipedia.org/wiki/Nursing
Sales,10.2,https://en.wikipedia.org/wiki/Sales
Office and administrative support,15.1,https://en.wikipedia.org/wiki/Business_administration
"Farming, fishing and forestry",0.6,https://en.wikipedia.org/wiki/Agriculture
Construction and extraction,4.3,https://en.wikipedia.org/wiki/Construction
"Installation, maintenance and repair",3.8,https://www.governmentjobs.com/jobs?keyword=Building%20Maintenance
Production,6.1,https://en.wikipedia.org/wiki/Production_(economics)
Transportation and material moving,6.5,https://en.wikipedia.org/wiki/Transport
Total,99.8
